iter	MultiClass
0	2.010306102
1	1.803934644
2	1.639809452
3	1.511894751
4	1.402301425
5	1.314672771
6	1.232399579
7	1.159793914
8	1.103220535
9	1.048452397
10	0.9965903885
11	0.9538625981
12	0.9136957572
13	0.8733198571
14	0.8391432063
15	0.8056569484
16	0.7731578291
17	0.7475184917
18	0.7186315936
19	0.6939759087
20	0.6725128585
21	0.6535084512
22	0.6304120376
23	0.6096743342
24	0.5929359274
25	0.5733731322
26	0.5571208966
27	0.5420907591
28	0.5268673379
29	0.5136202001
30	0.5012714589
31	0.4886436974
32	0.47607073
33	0.4650729611
34	0.4542834366
35	0.4436105519
36	0.4325086002
37	0.4235199812
38	0.4158430566
39	0.4078764787
40	0.3996884892
41	0.3928435162
42	0.3851727182
43	0.3780331288
44	0.372658496
45	0.3645767306
46	0.3587773365
47	0.3539915578
48	0.3475573313
49	0.3412325576
50	0.3352435398
51	0.3304958975
52	0.3242076627
53	0.3192084086
54	0.3139214433
55	0.3092674933
56	0.3053206699
57	0.3004035366
58	0.2971989068
59	0.2915054086
60	0.2877343896
61	0.2841963821
62	0.2806572414
63	0.2773049
64	0.2747519256
65	0.2722329969
66	0.2684940589
67	0.2652544077
68	0.2627260609
69	0.2603909667
70	0.2575847081
71	0.2546290645
72	0.2532988463
73	0.2509694189
74	0.2486609075
75	0.2459023449
76	0.2431424501
77	0.2407301403
78	0.2375558841
79	0.2349729602
80	0.2324877441
81	0.2300094581
82	0.2272071136
83	0.2253880897
84	0.2231555506
85	0.2207321619
86	0.2189892877
87	0.2181732247
88	0.2156138963
89	0.2137315391
90	0.2124556227
91	0.2102248833
92	0.2090381752
93	0.2074539656
94	0.206303394
95	0.2044448641
96	0.202373866
97	0.2002946397
98	0.1992014387
99	0.1973204981
100	0.1962518941
101	0.1952185071
102	0.193225434
103	0.1922338386
104	0.1906870907
105	0.1892136648
106	0.1877587474
107	0.1869032629
108	0.1859980558
109	0.1853879076
110	0.1841710314
111	0.1830885516
112	0.1823045293
113	0.1811358479
114	0.1801245175
115	0.1792813413
116	0.1778201242
117	0.177362529
118	0.1759302526
119	0.1755503551
120	0.1748591167
121	0.1734877794
122	0.1733135324
123	0.1715251222
124	0.1709012545
125	0.1704365212
126	0.1701495145
127	0.1692601592
128	0.1690477806
129	0.1681103461
130	0.1677494973
131	0.1672239444
132	0.1670451226
133	0.1668011311
134	0.1657950855
135	0.1647261623
136	0.1646308791
137	0.1637453668
138	0.1622600978
139	0.1620017037
140	0.161396625
141	0.1608037971
142	0.1606740114
143	0.1604788515
144	0.1594722482
145	0.1592641376
146	0.1588062564
147	0.1582231539
148	0.1579453554
149	0.1578368113
150	0.156999479
151	0.1560002989
152	0.1556664685
153	0.1554717705
154	0.1546742222
155	0.1542223497
156	0.1527898554
157	0.1516172192
158	0.1510605583
159	0.1508403423
160	0.1507732087
161	0.1504362692
162	0.1502278188
163	0.1496142948
164	0.1490407363
165	0.1490364491
166	0.1488506744
167	0.148475029
168	0.1483329354
169	0.1477681417
170	0.1472661853
171	0.1467170481
172	0.1463279885
173	0.1460825011
174	0.1455126044
175	0.1453556854
176	0.1453122613
