iter	Passed	Remaining
0	12	6231
1	18	4594
2	24	4112
3	34	4337
4	48	4769
5	54	4511
6	63	4444
7	71	4397
8	79	4352
9	86	4230
10	93	4165
11	99	4049
12	108	4063
13	117	4069
14	122	3971
15	129	3924
16	138	3921
17	145	3893
18	151	3845
19	160	3842
20	167	3820
21	177	3866
22	186	3858
23	194	3864
24	202	3849
25	210	3841
26	217	3801
27	224	3785
28	230	3741
29	241	3782
30	247	3737
31	253	3704
32	260	3686
33	267	3672
34	275	3654
35	282	3635
36	290	3631
37	296	3602
38	305	3608
39	311	3580
40	317	3556
41	325	3547
42	333	3540
43	341	3538
44	347	3517
45	354	3499
46	360	3473
47	368	3471
48	375	3454
49	383	3451
50	390	3441
51	400	3446
52	407	3439
53	414	3424
54	421	3411
55	429	3404
56	439	3416
57	446	3405
58	455	3403
59	462	3392
60	474	3414
61	486	3437
62	502	3484
63	515	3508
64	528	3537
65	539	3544
66	548	3547
67	557	3540
68	569	3556
69	580	3564
70	589	3561
71	598	3558
72	606	3548
73	614	3535
74	622	3525
75	630	3518
76	638	3506
77	645	3491
78	651	3474
79	662	3477
80	669	3464
81	677	3454
82	684	3440
83	694	3439
84	702	3429
85	709	3413
86	715	3394
87	724	3390
88	731	3375
89	738	3363
90	744	3344
91	750	3326
92	759	3323
93	767	3313
94	778	3320
95	790	3326
96	801	3329
97	811	3329
98	823	3335
99	834	3339
100	845	3339
101	856	3342
102	867	3341
103	873	3325
104	878	3305
105	885	3292
106	895	3288
107	903	3279
108	910	3264
109	917	3253
110	926	3245
111	934	3236
112	941	3224
113	947	3209
114	956	3201
115	962	3186
116	971	3178
117	977	3165
118	984	3152
119	996	3155
120	1007	3154
121	1017	3152
122	1029	3154
123	1037	3146
124	1043	3129
125	1049	3116
126	1058	3108
127	1065	3096
128	1072	3083
129	1078	3069
130	1087	3063
131	1094	3050
132	1101	3040
133	1107	3024
134	1115	3015
135	1123	3006
136	1130	2994
137	1136	2981
138	1142	2967
139	1149	2956
140	1158	2950
141	1170	2950
142	1179	2945
143	1190	2944
144	1198	2934
145	1208	2929
146	1214	2917
147	1222	2907
148	1227	2892
149	1234	2879
150	1242	2871
151	1249	2861
152	1256	2849
153	1262	2836
154	1270	2828
155	1322	2916
156	1334	2915
157	1342	2906
158	1350	2895
159	1356	2882
160	1363	2870
161	1372	2863
162	1378	2850
163	1386	2840
164	1392	2827
165	1399	2816
166	1408	2808
167	1416	2800
168	1423	2787
169	1429	2775
170	1438	2767
171	1445	2755
172	1452	2745
173	1463	2742
174	1477	2743
175	1487	2738
176	1494	2726
177	1502	2718
178	1509	2706
179	1517	2697
180	1522	2684
181	1530	2674
182	1538	2665
183	1545	2654
184	1552	2642
185	1558	2630
186	1567	2623
187	1573	2612
188	1581	2602
189	1587	2590
190	1595	2580
191	1603	2572
192	1610	2561
193	1616	2550
194	1622	2537
195	1628	2526
196	1637	2517
