iter	Accuracy	MultiClass
0	0.6594281394	1.456057351
1	0.6821896172	1.34031285
2	0.6842963461	1.258724285
3	0.6865773096	1.187897502
4	0.6888768648	1.130840891
5	0.6882655483	1.087874551
6	0.6916534691	1.048614455
7	0.691463048	1.016287364
8	0.6911012219	0.9857630529
9	0.6926307715	0.961278273
10	0.6924730282	0.942223451
11	0.6934463312	0.9232124
12	0.6942410024	0.9071449291
13	0.694570967	0.8936294796
14	0.6961891173	0.8787066906
15	0.6979907551	0.8652060712
16	0.699008382	0.8543843588
17	0.6997428098	0.8448758491
18	0.6995872641	0.8347045258
19	0.6998180412	0.8296003529
20	0.7006414883	0.8226818224
21	0.7012775035	0.8164209051
22	0.7049603746	0.8092001527
23	0.7067888213	0.8033251998
24	0.7066790844	0.7966073082
25	0.7085275063	0.7899602428
26	0.7085272019	0.7848181685
27	0.7095963639	0.7797634806
28	0.7120796393	0.7758527243
29	0.7121568786	0.7730035037
30	0.7125649677	0.7702802432
31	0.7129607778	0.7662377291
32	0.712809727	0.7626715611
33	0.7134140938	0.7599377288
34	0.7131525701	0.757406118
35	0.7129199144	0.7545782566
36	0.7138732706	0.7516783038
37	0.7135547889	0.7498547246
38	0.7136889597	0.7480067014
39	0.7146609665	0.7460096643
40	0.7159606204	0.7429720101
41	0.7156971196	0.7403864739
42	0.7158124052	0.7382244486
43	0.7167373614	0.7368179179
44	0.7173853425	0.7356777627
45	0.7179627905	0.7341670974
46	0.7183837637	0.7329671815
47	0.7187976175	0.7312518991
48	0.7198325597	0.7301255927
49	0.7204811889	0.7286529031
50	0.7205744687	0.7275415134
51	0.7212602618	0.7260483089
52	0.7219977744	0.7242662152
53	0.722409495	0.7227828777
54	0.722782192	0.7215934266
55	0.7231580863	0.7207150086
56	0.7230748722	0.7195874951
57	0.7234405073	0.7182854772
58	0.7233653288	0.7173929425
59	0.7240493606	0.7159375933
60	0.7238901489	0.7147840972
61	0.7244877368	0.7133388866
62	0.7248052608	0.7122150844
63	0.7256559543	0.7110588897
64	0.7267439045	0.709291171
65	0.7268539629	0.708416529
66	0.726508657	0.7065054888
67	0.7264877027	0.7058305179
68	0.7276829351	0.7051639036
69	0.7275994702	0.704374731
70	0.7276073626	0.7034891824
71	0.7277875422	0.701927321
72	0.7281021819	0.7010101362
73	0.7285177136	0.7004621526
74	0.728766802	0.6991078552
75	0.7288512193	0.6983160626
76	0.7291536826	0.6977392266
77	0.7295431695	0.6968456186
78	0.7297091108	0.6960171273
79	0.7298824753	0.6955272725
80	0.7302127268	0.6949163199
81	0.7305220049	0.694144573
82	0.7302602515	0.6934551455
83	0.7301603884	0.6928409438
84	0.7307354489	0.6922824899
85	0.7312591018	0.6912925686
86	0.7308965869	0.6906630017
87	0.7315063661	0.689518634
88	0.731575919	0.6888949223
89	0.7322853906	0.6877060799
90	0.7329741209	0.6862202778
91	0.7334151817	0.6857040606
92	0.7333235966	0.6852209231
93	0.7339583682	0.6841566228
94	0.7340807727	0.6836557261
95	0.7341335171	0.6830971936
96	0.7345093753	0.6824745956
97	0.7350142869	0.6813426253
98	0.7350486389	0.6809454618
99	0.7350853246	0.6805309778
100	0.7353509857	0.6793082381
101	0.7360287346	0.6784631107
102	0.7359822195	0.6778252477
103	0.7365357802	0.6772902905
104	0.7372663851	0.6763550795
105	0.7373241868	0.6760664174
106	0.7375218237	0.6751236228
107	0.7378551684	0.6743572984
108	0.7383270076	0.6731608311
109	0.7383413841	0.6728948334
110	0.7386345287	0.6725004134
111	0.7387296996	0.6718054954
112	0.7385357516	0.6714051317
113	0.738827822	0.6707007263
114	0.7395294406	0.6699295179
115	0.739360387	0.6695322227
116	0.7394860426	0.6690707149
117	0.7395899342	0.6684326174
118	0.7396024686	0.6679230425
119	0.7402607568	0.6669728731
120	0.7406732069	0.6660058166
121	0.7409868947	0.6654532463
122	0.7413769863	0.6650344675
123	0.7415418844	0.6639403863
124	0.7418423136	0.6630357431
125	0.7420459475	0.662733596
126	0.7423730595	0.6623819725
127	0.7426165095	0.6619313059
128	0.7424591491	0.661344801
129	0.7430731629	0.6607388885
130	0.743387592	0.6601166552
131	0.7438715185	0.6595885712
132	0.7438051757	0.6588859569
133	0.7441046386	0.6586828255
134	0.7441386192	0.6579729188
135	0.7443636995	0.6575399293
136	0.7443542417	0.6571014502
137	0.7442664526	0.6561775911
138	0.7448364779	0.6551583803
139	0.7451704087	0.6545141271
140	0.7458058555	0.6532951642
141	0.7460891759	0.6528776881
142	0.7462099395	0.6521838318
