iter	Accuracy	MultiClass
0	0.6609063451	1.452150199
1	0.6706711638	1.343692232
2	0.6747983468	1.26309583
3	0.6779667887	1.1925919
4	0.6768982838	1.140687851
5	0.6727967931	1.093667894
6	0.6792661741	1.051721748
7	0.6821779772	1.017280529
8	0.6836119641	0.9887340287
9	0.6839439428	0.9658142626
10	0.6869451364	0.94419764
11	0.6957862335	0.9266701323
12	0.6961840394	0.9091798387
13	0.6968291193	0.8944666809
14	0.6976701087	0.8801643243
15	0.7009321623	0.8663465642
16	0.7031536516	0.8559395659
17	0.7019176668	0.8454084476
18	0.7015361418	0.8357061773
19	0.7029660345	0.8268781683
20	0.702746349	0.8190434035
21	0.7027026789	0.8116722724
22	0.7039493684	0.8043600391
23	0.7045422802	0.7977808017
24	0.7049848848	0.7921262965
25	0.7081276342	0.7863742354
26	0.7088335915	0.7818395083
27	0.7109526032	0.7793158654
28	0.7109423239	0.7769967486
29	0.7092681297	0.7723261723
30	0.7101165934	0.7682819134
31	0.7116099726	0.7638513376
32	0.7117331027	0.7612709788
33	0.7118386076	0.7585815357
34	0.7130403528	0.7553487599
35	0.7125134219	0.7520525885
36	0.7138442444	0.7496925689
37	0.7144823831	0.7477165206
38	0.7144267823	0.745722733
39	0.7150555618	0.7443400514
40	0.71528416	0.7427045704
41	0.7157233439	0.7407545332
42	0.7158253396	0.7386845471
43	0.7166498355	0.7373635953
44	0.7163923744	0.7369040219
45	0.7170003326	0.733954484
46	0.7174569212	0.7325570914
47	0.7177156482	0.7315413677
48	0.7177964407	0.7294250609
49	0.7184294931	0.7277002477
50	0.7184248425	0.7266809175
51	0.7194576406	0.7251675153
52	0.7195678533	0.7244964559
53	0.7198447174	0.7226535858
54	0.7199603151	0.7220484566
55	0.7201070415	0.7213060777
56	0.720169366	0.7203373796
57	0.7210997507	0.7192155379
58	0.7218218542	0.7181268186
59	0.721923093	0.7170811007
60	0.7216107267	0.7159542223
61	0.7221824877	0.7150175225
62	0.7225513363	0.713395017
63	0.7230042728	0.7124078944
64	0.7240164429	0.7113071696
65	0.7240674019	0.7102938413
66	0.7242807264	0.7089566581
67	0.7242676913	0.707844801
68	0.7245656266	0.7064845407
69	0.7243493284	0.7058064059
70	0.7245816217	0.7052085789
71	0.7251066768	0.7044570985
72	0.7252394696	0.7036631621
73	0.7255911958	0.7033719775
74	0.7257798358	0.7028767853
75	0.7261717115	0.7019374614
76	0.7265323355	0.7006721095
77	0.7269848378	0.6997956972
78	0.7274312185	0.6987574622
79	0.7279618009	0.6975840832
80	0.7280214392	0.6962519461
81	0.7283347502	0.6956721375
82	0.7281120032	0.6947257496
83	0.7283620122	0.6941406195
84	0.7283800526	0.6936238828
85	0.7289259081	0.6928797189
86	0.7291182084	0.6922423533
87	0.7288964823	0.6911961231
88	0.7294039953	0.6901123432
89	0.7298213642	0.6895324121
90	0.7301963845	0.6883065523
91	0.7306156121	0.6875956223
92	0.7313640207	0.6863055808
93	0.7316610351	0.6860445848
94	0.7318268969	0.6852774593
95	0.7318749504	0.6843765941
96	0.7318078098	0.6840510875
97	0.7318268826	0.6835944858
98	0.7318970724	0.6831244625
99	0.7329471745	0.6826511667
100	0.7331833929	0.6816902708
101	0.733048188	0.6809393807
102	0.7331225738	0.6804915932
103	0.7332989641	0.6800710791
104	0.7332870356	0.6797129609
105	0.7334182078	0.6795251724
106	0.7338262931	0.6788682626
107	0.7340894591	0.6781238049
108	0.7340765703	0.677875009
109	0.7346009545	0.676907761
110	0.7349046307	0.6764291734
111	0.7353055499	0.675751361
112	0.7358542802	0.6753622659
113	0.7358185786	0.674672001
114	0.7365593099	0.6734602778
115	0.7369323258	0.6728293834
116	0.7373586734	0.6719970926
117	0.7376446808	0.6714052906
118	0.7376723737	0.6709306284
119	0.7378909662	0.6702837866
120	0.7382746106	0.6698014098
121	0.7392196611	0.6685434927
122	0.739374642	0.6681614606
123	0.7392213178	0.6672245787
124	0.7396317607	0.6662731995
125	0.7399049972	0.6659980316
126	0.7402626733	0.6651096306
127	0.7405521833	0.6643507418
128	0.7410022884	0.6638345521
129	0.7410288929	0.6635347798
130	0.7410151772	0.6625682682
131	0.7413650834	0.6613530962
132	0.7417119018	0.6608968784
133	0.7417246293	0.66048911
134	0.7418310789	0.6601592806
135	0.7419963194	0.6594919537
136	0.7420455987	0.6591807549
137	0.7426830812	0.6588300975
138	0.7441128189	0.6573014401
139	0.7442342134	0.6569416558
140	0.7443891432	0.6561953001
141	0.7448418857	0.6553581974
142	0.7450354432	0.654875144
143	0.7451003433	0.6543412911
144	0.744902351	0.6540015117
145	0.7455140102	0.6535152038
146	0.745643513	0.6528984843
147	0.7462036136	0.6525667453
148	0.7466443998	0.6521022129
149	0.7467285898	0.651747906
150	0.746405478	0.6514595697
151	0.746448708	0.6509517905
152	0.7467080516	0.6504265402
153	0.7466107039	0.6499340385
154	0.7465312741	0.6497035637
155	0.7468361611	0.6487697904
156	0.746940104	0.6483192881
157	0.7474552861	0.648125477
158	0.7480912734	0.6473801898
159	0.7483110236	0.6469553162
160	0.7477363033	0.6467459625
161	0.7481584835	0.6462948327
162	0.7484134385	0.6458473755
163	0.7487953468	0.6448426067
164	0.7487777576	0.6443782144
165	0.748903118	0.6438953849
166	0.7495868586	0.6434657794
167	0.7497500912	0.6430760058
168	0.7499466216	0.6427843414
169	0.7502851535	0.6424717515
170	0.7505386881	0.6420991507
171	0.7503018061	0.6416879307
172	0.750254291	0.641288517
173	0.7503089036	0.6410726324
174	0.7502838453	0.6408901934
175	0.7507956802	0.6399476831
176	0.7508800363	0.639490102
177	0.7509351151	0.6391646236
178	0.7511089633	0.6387682493
179	0.7510892438	0.6384990184
180	0.7515490355	0.6378425252
181	0.7516676082	0.6373641395
182	0.751536994	0.6370373685
183	0.7518612139	0.6360981411
184	0.752205431	0.6357752016
185	0.7528549216	0.6353848737
