iter	Passed	Remaining
0	10	5026
1	16	4192
2	25	4183
3	40	5053
4	50	4961
5	58	4784
6	65	4609
7	78	4834
8	88	4851
9	96	4725
10	105	4682
11	121	4941
12	129	4866
13	138	4811
14	154	4987
15	165	5006
16	173	4936
17	182	4897
18	190	4832
19	198	4768
20	206	4709
21	214	4661
22	220	4579
23	226	4494
24	235	4483
25	242	4429
26	250	4391
27	255	4313
28	263	4273
29	269	4216
30	274	4159
31	282	4129
32	287	4070
33	294	4039
34	300	3994
35	307	3958
36	315	3942
37	325	3959
38	332	3934
39	341	3926
40	348	3903
41	366	3992
42	379	4038
43	389	4039
44	398	4026
45	404	3995
46	412	3974
47	418	3937
48	426	3925
49	434	3911
50	441	3889
51	448	3861
52	454	3829
53	460	3806
54	466	3776
55	473	3752
56	479	3729
57	484	3694
58	490	3666
59	495	3633
60	501	3606
61	506	3581
62	512	3556
63	519	3539
64	527	3528
65	534	3516
66	541	3497
67	546	3470
68	550	3440
69	556	3418
70	561	3393
71	566	3370
72	572	3348
73	577	3324
74	582	3301
75	588	3282
76	593	3260
77	599	3245
78	605	3227
79	610	3205
80	615	3183
81	620	3165
82	626	3145
83	631	3126
84	636	3107
85	641	3088
86	646	3067
87	651	3048
88	657	3034
89	662	3017
90	668	3004
91	673	2986
92	677	2966
93	682	2947
94	687	2931
95	693	2916
96	698	2901
97	703	2887
98	708	2871
99	713	2854
100	719	2843
101	724	2827
102	729	2813
103	735	2799
104	740	2783
105	744	2767
106	749	2753
107	754	2740
108	760	2727
109	765	2715
110	771	2703
111	776	2689
112	780	2673
113	785	2661
114	791	2649
115	796	2636
116	801	2624
117	806	2611
118	811	2597
119	816	2585
120	821	2572
121	826	2561
122	832	2550
123	837	2538
124	842	2527
125	847	2516
126	852	2504
127	858	2494
128	863	2483
129	868	2472
130	874	2461
131	878	2450
132	884	2441
133	889	2429
134	894	2418
135	900	2409
136	904	2397
137	909	2386
138	915	2377
139	920	2367
140	925	2357
141	931	2349
142	936	2337
143	941	2326
144	946	2317
145	951	2306
146	956	2297
147	962	2288
148	967	2278
149	971	2267
150	976	2256
151	981	2247
152	986	2238
153	992	2229
154	998	2221
155	1003	2212
156	1008	2202
157	1013	2194
158	1019	2186
159	1025	2178
160	1030	2169
161	1035	2159
162	1040	2150
163	1046	2143
164	1051	2135
165	1057	2127
166	1063	2119
167	1067	2109
168	1072	2100
169	1077	2092
170	1082	2082
171	1088	2076
172	1093	2067
173	1099	2059
174	1103	2049
175	1109	2042
176	1114	2034
177	1121	2028
178	1127	2022
179	1132	2013
180	1137	2004
181	1143	1997
182	1149	1990
183	1156	1985
184	1162	1978
185	1167	1970
186	1172	1961
187	1177	1954
188	1184	1948
189	1190	1942
190	1195	1934
191	1200	1926
192	1205	1917
193	1211	1910
194	1217	1904
195	1223	1897
196	1228	1890
197	1233	1881
198	1239	1874
199	1244	1866
200	1250	1860
201	1256	1854
202	1262	1846
203	1267	1839
204	1273	1831
205	1278	1824
206	1283	1817
207	1289	1810
208	1294	1802
209	1299	1793
210	1304	1786
211	1309	1779
212	1315	1772
213	1320	1764
214	1325	1757
215	1330	1748
216	1335	1741
217	1340	1734
218	1345	1726
219	1350	1719
220	1356	1713
221	1361	1704
222	1365	1696
223	1371	1689
224	1377	1684
225	1383	1677
226	1389	1670
227	1394	1663
228	1398	1655
229	1404	1648
230	1409	1641
231	1415	1635
232	1421	1628
233	1426	1621
234	1430	1613
235	1435	1606
236	1440	1598
237	1446	1591
238	1451	1585
239	1456	1578
240	1462	1571
241	1467	1565
242	1472	1557
243	1478	1551
244	1483	1544
245	1488	1537
246	1494	1530
247	1501	1525
248	1508	1520
249	1514	1514
250	1520	1508
251	1526	1501
252	1532	1495
253	1537	1489
254	1543	1482
255	1548	1475
256	1553	1469
257	1558	1461
258	1562	1454
259	1568	1447
260	1573	1440
261	1578	1434
262	1584	1427
263	1589	1420
264	1594	1413
265	1599	1406
266	1604	1400
267	1610	1393
268	1615	1387
269	1620	1380
270	1624	1373
271	1630	1366
272	1635	1360
273	1641	1354
274	1647	1347
275	1652	1341
276	1657	1334
277	1662	1327
278	1667	1320
279	1672	1314
280	1677	1307
281	1683	1301
282	1687	1294
283	1692	1287
284	1697	1280
285	1702	1274
286	1707	1267
287	1713	1261
288	1718	1254
289	1723	1248
290	1729	1241
291	1734	1235
292	1740	1229
293	1745	1223
294	1751	1217
295	1756	1210
296	1761	1204
297	1766	1197
298	1772	1191
299	1777	1185
300	1782	1178
301	1788	1172
302	1794	1166
303	1799	1160
304	1805	1154
305	1810	1148
306	1815	1141
307	1820	1134
308	1825	1128
309	1830	1121
310	1836	1115
311	1841	1109
312	1847	1103
313	1852	1097
314	1857	1091
315	1863	1084
316	1869	1079
317	1874	1072
318	1880	1066
319	1885	1060
320	1890	1053
321	1895	1047
322	1901	1041
323	1907	1036
324	1912	1029
325	1917	1023
326	1921	1016
327	1927	1010
328	1933	1004
329	1938	998
330	1943	992
331	1948	986
332	1953	979
333	1959	973
334	1964	967
335	1970	961
336	1975	955
337	1980	949
338	1985	942
339	1990	936
340	1995	930
341	2000	924
342	2006	918
343	2011	912
344	2015	905
345	2020	899
346	2026	893
347	2031	887
348	2037	881
349	2042	875
350	2046	868
351	2051	862
352	2057	856
353	2062	850
354	2068	844
355	2074	839
356	2079	832
357	2083	826
358	2089	820
359	2095	814
360	2100	808
361	2106	802
362	2111	796
363	2116	790
364	2121	784
365	2126	778
366	2132	772
367	2138	767
368	2143	760
369	2147	754
370	2152	748
371	2157	742
372	2163	736
373	2169	730
374	2174	724
375	2178	718
376	2183	712
377	2189	706
378	2194	700
379	2201	695
380	2206	689
381	2211	683
382	2216	677
383	2221	671
384	2226	665
385	2232	659
386	2238	653
387	2243	647
388	2247	641
389	2253	635
390	2258	629
391	2264	623
392	2270	618
393	2275	612
394	2279	606
395	2285	600
396	2290	594
397	2296	588
398	2302	582
399	2306	576
400	2311	570
401	2316	564
402	2321	558
403	2327	553
404	2333	547
405	2337	541
406	2342	535
407	2347	529
408	2353	523
409	2358	517
410	2362	511
411	2368	505
412	2373	499
413	2377	493
414	2383	488
415	2388	482
416	2393	476
417	2399	470
418	2404	464
419	2408	458
420	2413	452
421	2418	447
422	2424	441
423	2429	435
424	2434	429
425	2439	423
426	2444	417
427	2449	412
428	2455	406
429	2460	400
430	2465	394
431	2470	388
432	2476	383
433	2483	377
434	2490	372
435	2497	366
436	2502	360
437	2507	354
438	2513	349
439	2518	343
440	2523	337
441	2528	331
442	2533	325
443	2538	320
444	2542	314
445	2548	308
446	2553	302
447	2558	297
448	2564	291
449	2568	285
450	2573	279
451	2579	273
452	2584	268
453	2590	262
454	2595	256
455	2600	250
456	2605	245
457	2611	239
458	2616	233
459	2622	228
460	2627	222
461	2632	216
462	2637	210
463	2642	205
464	2648	199
465	2654	193
466	2659	187
467	2664	182
468	2668	176
469	2673	170
470	2679	165
471	2685	159
472	2690	153
473	2695	147
474	2700	142
475	2704	136
476	2710	130
477	2715	124
478	2720	119
479	2726	113
480	2731	107
481	2735	102
482	2740	96
483	2746	90
484	2751	85
485	2756	79
486	2762	73
487	2767	68
488	2773	62
489	2778	56
490	2783	51
491	2789	45
492	2794	39
493	2798	33
494	2803	28
495	2809	22
496	2814	16
497	2819	11
498	2825	5
499	2830	0
